loan_id,customer_name,phone,segment,monthly_income,loan_amount,outstanding,emi,tenure_months,current_dpd,missed_payments_3m
L00063,Rahul Nair,9176477277,salaried,36513.0,90000.0,33019.0,16800.0,6,0,0
L00064,Tara Patel,9852504205,salaried,56628.0,90000.0,32773.0,33600.0,3,0,0
L00065,Nikhil Gupta,9939682022,salaried,40658.0,60100.0,10269.0,22437.0,3,8,1
L00066,Divya Patel,9476564289,salaried,39123.0,51800.0,11877.0,2417.0,24,54,2
L00067,Arjun Nair,9303570000,salaried,55903.0,90000.0,77220.0,8400.0,12,0,0
L00068,Arjun Sharma,9572330068,student,24308.0,46700.0,22134.0,5812.0,9,0,1
L00069,Meera Iyer,9719317120,student,16278.0,26900.0,7168.0,1255.0,24,25,1
L00070,Sana Iyer,9935072401,student,16641.0,35700.0,27538.0,6664.0,6,0,0
L00071,Dev Gupta,9574930907,student,20305.0,38300.0,22072.0,4766.0,9,0,0
L00072,Isha Bose,9215094145,student,12617.0,16400.0,1150.0,765.0,24,0,0
L00073,Tara Sharma,9933821280,salaried,21756.0,29700.0,10411.0,2772.0,12,0,0
L00074,Isha Rao,9414103802,student,15897.0,23000.0,5017.0,2862.0,9,0,0
L00075,Kabir Rao,9658526539,student,17256.0,12700.0,8548.0,2371.0,6,91,2
L00076,Meera Khan,9728330176,student,12667.0,11600.0,3611.0,4331.0,3,0,0
L00077,Kabir Gupta,9112066142,student,9642.0,22300.0,2491.0,8325.0,3,0,1
L00078,Isha Das,9299402649,salaried,46008.0,67800.0,6928.0,25312.0,3,101,4
L00079,Ananya Patel,9717810697,salaried,36678.0,38000.0,22900.0,2364.0,18,83,2
L00080,Ananya Nair,9392293565,salaried,54972.0,90000.0,6357.0,8400.0,12,48,1
L00081,Vikram Sharma,9108398282,salaried,28894.0,69000.0,59088.0,8587.0,9,0,0
L00082,Zoya Rao,9120961953,student,23749.0,27200.0,5375.0,1692.0,18,0,0
L00083,Tara Singh,9843801723,salaried,37982.0,90000.0,56361.0,33600.0,3,0,0
L00084,Dev Rao,9238169512,student,12152.0,34300.0,16205.0,6403.0,6,0,0
L00085,Tara Nair,9190381984,student,17391.0,34700.0,16334.0,4318.0,9,0,0
L00086,Rohan Nair,9606096544,student,14372.0,31200.0,3688.0,1456.0,24,0,0
L00087,Rahul Singh,9207042941,salaried,53691.0,33900.0,27548.0,3164.0,12,0,0
L00088,Meera Iyer,9687781058,salaried,45756.0,90000.0,80856.0,4200.0,24,96,2
L00089,Tara Sharma,9589686256,student,18477.0,27400.0,1657.0,5115.0,6,47,1
L00090,Rohan Nair,9684020647,salaried,21497.0,60400.0,13268.0,2819.0,24,0,1
L00091,Divya Khan,9542444150,student,20255.0,39400.0,35803.0,14709.0,3,0,0
L00092,Meera Khan,9800524422,salaried,42348.0,21700.0,12413.0,4051.0,6,0,0
L00093,Meera Sharma,9473753271,student,16025.0,9600.0,1848.0,896.0,12,0,0
L00094,Sana Nair,9113841223,student,26391.0,58100.0,14098.0,21691.0,3,0,0
L00095,Ananya Iyer,9346141644,student,16892.0,32200.0,21799.0,1503.0,24,0,0
L00096,Nikhil Patel,9218287888,salaried,56372.0,31900.0,23561.0,1489.0,24,56,2
L00097,Aarav Sharma,9114022629,student,16366.0,38600.0,23911.0,3603.0,12,0,1
L00098,Rahul Khan,9345853493,student,18323.0,48200.0,46055.0,8997.0,6,74,2
L00099,Isha Rao,9285966843,student,15773.0,27500.0,14282.0,10267.0,3,0,0
L00100,Rohan Khan,9169066217,salaried,48467.0,80700.0,27055.0,7532.0,12,0,0
L00101,Aarav Gupta,9381149030,salaried,59939.0,30800.0,15504.0,2875.0,12,0,2
L00102,Tara Bose,9555908618,salaried,39824.0,90000.0,35251.0,5600.0,18,0,0
L00103,Kabir Khan,9260386170,student,12594.0,16700.0,4395.0,1559.0,12,0,1
L00104,Divya Rao,9345800044,salaried,24552.0,66200.0,6201.0,24715.0,3,57,2
L00105,Aarav Gupta,9118130024,salaried,35004.0,50100.0,19269.0,18704.0,3,0,0
L00106,Zoya Nair,9145364019,salaried,38307.0,73300.0,53204.0,4561.0,18,0,0
L00107,Vikram Sharma,9241702847,student,14855.0,17500.0,1182.0,6533.0,3,0,0
L00108,Aarav Sharma,9507631296,student,17816.0,16100.0,7522.0,751.0,24,0,0
L00109,Rohan Singh,9699489597,student,14765.0,36000.0,23825.0,13440.0,3,0,3
L00110,Vikram Bose,9655164717,salaried,57592.0,90000.0,56690.0,5600.0,18,0,0
L00111,Kabir Singh,9942115274,salaried,36888.0,67900.0,53493.0,3169.0,24,94,2
L00112,Priya Singh,9330077361,student,14658.0,42700.0,35014.0,5314.0,9,0,0
L00113,Aarav Sharma,9818351461,student,8037.0,23400.0,16991.0,8736.0,3,0,0
L00114,Isha Bose,9943184084,salaried,26572.0,70100.0,10351.0,3271.0,24,0,0
L00115,Kabir Das,9610980504,student,21455.0,20800.0,10426.0,3883.0,6,8,0
L00116,Meera Bose,9856499199,salaried,46231.0,90000.0,56091.0,8400.0,12,0,0
L00117,Ananya Sharma,9223800712,salaried,43231.0,90000.0,25496.0,4200.0,24,0,0
L00118,Dev Iyer,9890904738,salaried,64059.0,90000.0,8138.0,5600.0,18,0,0
L00119,Tara Bose,9607664636,student,6000.0,5000.0,1312.0,1867.0,3,0,0
L00120,Isha Bose,9299380828,salaried,69724.0,90000.0,43393.0,5600.0,18,0,1
L00121,Isha Gupta,9155435554,salaried,42295.0,72100.0,31957.0,26917.0,3,33,2
L00122,Dev Khan,9747935353,salaried,29676.0,56700.0,12351.0,3528.0,18,0,1
L00123,Meera Khan,9379003105,student,13762.0,40700.0,33911.0,3799.0,12,11,1
L00124,Nikhil Singh,9451232765,student,17860.0,36000.0,33458.0,6720.0,6,0,0
L00125,Zoya Das,9485032427,student,9756.0,15200.0,3667.0,1892.0,9,80,2
L00126,Arjun Das,9170898614,salaried,49764.0,70900.0,66156.0,26469.0,3,34,1
L00127,Nikhil Nair,9351843326,student,16398.0,25300.0,1694.0,1181.0,24,0,0
L00128,Meera Das,9230827450,student,15656.0,12500.0,11609.0,2333.0,6,0,0
L00129,Dev Nair,9820359372,student,19163.0,47700.0,45522.0,8904.0,6,0,0
L00130,Tara Das,9856850019,salaried,58890.0,90000.0,5530.0,8400.0,12,29,0
L00131,Nikhil Rao,9669594437,student,18673.0,22600.0,17512.0,1406.0,18,0,0
L00132,Dev Singh,9791665292,salaried,51353.0,64700.0,62868.0,6039.0,12,0,0
L00133,Rohan Singh,9475561349,salaried,61361.0,90000.0,81955.0,8400.0,12,0,1
L00134,Kabir Nair,9664976885,student,22516.0,12600.0,12249.0,1176.0,12,31,1
L00135,Kabir Das,9196277326,salaried,41185.0,74200.0,42502.0,3463.0,24,0,0
L00136,Ananya Bose,9584510318,student,12449.0,20700.0,2572.0,2576.0,9,0,0
L00137,Isha Rao,9601720806,salaried,46431.0,90000.0,77157.0,5600.0,18,20,0
L00138,Rahul Nair,9127975761,salaried,38143.0,34700.0,21970.0,2159.0,18,0,0
L00139,Arjun Gupta,9593477680,salaried,43006.0,90000.0,57060.0,4200.0,24,47,1
L00140,Priya Bose,9750640597,student,14230.0,20500.0,9151.0,957.0,24,0,1
L00141,Priya Gupta,9430831688,salaried,42963.0,87900.0,52147.0,5469.0,18,0,1
L00142,Kabir Bose,9590484644,salaried,49966.0,30000.0,5877.0,5600.0,6,105,2
L00143,Nikhil Iyer,9357466206,salaried,42213.0,69800.0,52544.0,4343.0,18,0,1
L00144,Sana Das,9343666945,salaried,45909.0,82900.0,10053.0,5158.0,18,0,1
L00145,Kabir Nair,9216544229,salaried,45072.0,46700.0,34712.0,8717.0,6,0,0
L00146,Divya Sharma,9395057834,student,12236.0,10400.0,8908.0,647.0,18,0,0
L00147,Divya Rao,9942046106,student,14206.0,13800.0,6884.0,2576.0,6,0,1
L00148,Arjun Gupta,9672063555,salaried,64769.0,88100.0,47075.0,8223.0,12,0,1
L00149,Ananya Patel,9661926019,student,9737.0,7200.0,2496.0,448.0,18,0,0
L00150,Sana Rao,9652439039,student,18550.0,53200.0,51656.0,9931.0,6,0,0
L00151,Priya Bose,9528321190,salaried,31190.0,47200.0,35233.0,5874.0,9,0,1
L00152,Tara Bose,9480732110,salaried,43945.0,90000.0,36049.0,5600.0,18,0,0
L00153,Ananya Khan,9805960592,student,6423.0,18900.0,4084.0,2352.0,9,0,0
L00154,Dev Rao,9472368091,salaried,55392.0,38900.0,10060.0,1815.0,24,0,0
L00155,Rahul Das,9609302772,student,9254.0,19700.0,9667.0,7355.0,3,112,2
L00156,Divya Nair,9523164045,salaried,55637.0,90000.0,85090.0,5600.0,18,0,1
L00157,Dev Sharma,9356961896,student,16991.0,35400.0,26459.0,2203.0,18,0,0
L00158,Sana Gupta,9361278330,salaried,59404.0,90000.0,22903.0,4200.0,24,0,0
L00159,Divya Bose,9170893757,salaried,48472.0,76500.0,66294.0,28560.0,3,81,2
L00160,Aarav Nair,9741210331,salaried,40732.0,24000.0,9823.0,1120.0,24,0,0
L00161,Tara Das,9717033008,student,16814.0,30900.0,26547.0,3845.0,9,0,1
L00162,Dev Rao,9987100566,salaried,9833.0,29300.0,8193.0,3646.0,9,0,0
L00163,Sana Gupta,9135947732,student,18827.0,54500.0,34756.0,6782.0,9,0,1
L00164,Meera Iyer,9784591558,student,18651.0,11200.0,10420.0,1045.0,12,97,2
L00165,Arjun Singh,9815524665,salaried,24318.0,55100.0,16254.0,5143.0,12,67,2
L00166,Sana Bose,9492791113,student,18226.0,22900.0,16220.0,2850.0,9,0,1
L00167,Isha Singh,9354681586,salaried,50730.0,90000.0,88915.0,33600.0,3,3,0
L00168,Priya Singh,9421391862,salaried,31051.0,19000.0,3668.0,887.0,24,0,0
L00169,Meera Singh,9714303813,student,15652.0,44400.0,5949.0,8288.0,6,0,0
L00170,Rahul Bose,9875950060,salaried,61446.0,90000.0,62144.0,33600.0,3,107,2
L00171,Rahul Gupta,9678452782,student,12986.0,10300.0,3839.0,961.0,12,0,0
L00172,Zoya Patel,9687365243,salaried,71915.0,46700.0,5496.0,5812.0,9,0,2
L00173,Isha Nair,9163536811,student,11022.0,28500.0,14294.0,2660.0,12,0,2
L00174,Nikhil Bose,9137926381,salaried,49896.0,44400.0,34014.0,2072.0,24,21,0
L00175,Arjun Nair,9963191653,student,15717.0,28900.0,9273.0,10789.0,3,0,1
L00176,Sana Rao,9900286409,student,17337.0,48400.0,17825.0,9035.0,6,0,1
L00177,Zoya Patel,9557509745,student,16205.0,31100.0,26541.0,2903.0,12,0,0
L00178,Sana Khan,9673824288,salaried,43683.0,65200.0,35473.0,4057.0,18,0,1
L00179,Nikhil Nair,9734904397,salaried,44573.0,71900.0,61158.0,6711.0,12,0,0
L00180,Divya Das,9564023754,salaried,28623.0,18800.0,8913.0,2340.0,9,30,0
L00181,Vikram Patel,9312640819,salaried,41930.0,90000.0,85979.0,8400.0,12,36,1
L00182,Rahul Patel,9165926421,salaried,36094.0,46100.0,30807.0,2151.0,24,30,0
L00183,Dev Rao,9354975254,salaried,56092.0,54600.0,8742.0,6795.0,9,99,2
L00184,Divya Das,9576099004,student,16752.0,20400.0,18173.0,952.0,24,0,0
L00185,Meera Sharma,9481615387,salaried,41606.0,90000.0,46332.0,5600.0,18,0,0
L00186,Divya Sharma,9555729541,salaried,43726.0,32200.0,5943.0,6011.0,6,0,0
L00187,Aarav Das,9944082810,student,17048.0,45500.0,8875.0,8493.0,6,0,1
L00188,Aarav Patel,9430068788,student,12401.0,28100.0,19759.0,1748.0,18,27,0
L00189,Vikram Bose,9861540670,salaried,33003.0,85000.0,8075.0,15867.0,6,0,0
L00190,Kabir Bose,9451864551,student,10181.0,29900.0,9636.0,3721.0,9,60,1
L00191,Sana Iyer,9499227736,salaried,58256.0,90000.0,16452.0,16800.0,6,0,1
L00192,Tara Nair,9336819224,student,20992.0,60000.0,28141.0,5600.0,12,0,0
L00193,Nikhil Patel,9297901038,student,14990.0,12300.0,5457.0,2296.0,6,0,2
L00194,Priya Khan,9441271733,salaried,50326.0,90000.0,49120.0,8400.0,12,0,2
L00195,Ananya Rao,9823862678,student,6360.0,11900.0,3756.0,555.0,24,0,0
L00196,Tara Nair,9493782720,student,11375.0,21100.0,1697.0,1313.0,18,0,0
L00197,Arjun Rao,9704905202,salaried,47754.0,90000.0,57030.0,4200.0,24,0,0
L00198,Meera Iyer,9735619699,salaried,53827.0,90000.0,36453.0,33600.0,3,61,2
L00199,Rohan Khan,9490966031,student,18858.0,42700.0,28556.0,5314.0,9,0,0
L00200,Vikram Das,9173298232,student,23989.0,41000.0,6283.0,7653.0,6,0,0
L00201,Dev Das,9114315787,salaried,28149.0,46200.0,2915.0,2156.0,24,30,1
L00202,Divya Singh,9522968854,salaried,48972.0,71800.0,20526.0,4468.0,18,0,0
L00203,Rohan Patel,9829040431,salaried,41369.0,58100.0,28104.0,10845.0,6,80,2
L00204,Priya Rao,9125397578,student,22444.0,33200.0,14089.0,3099.0,12,49,1
L00205,Meera Rao,9708318991,student,11111.0,8000.0,6558.0,747.0,12,0,0
L00206,Vikram Nair,9107250142,student,16996.0,11800.0,4826.0,1468.0,9,0,3
L00207,Kabir Khan,9409339068,student,23285.0,57000.0,31573.0,7093.0,9,0,1
L00208,Rohan Nair,9954327531,salaried,60778.0,90000.0,55246.0,33600.0,3,89,2
L00209,Kabir Iyer,9599304016,student,10876.0,30700.0,2172.0,3820.0,9,101,2
L00210,Aarav Bose,9391711792,salaried,49233.0,90000.0,48544.0,11200.0,9,0,0
L00211,Divya Das,9350243457,salaried,54202.0,31900.0,12045.0,1985.0,18,0,0
L00212,Arjun Singh,9607425307,salaried,46454.0,41500.0,18684.0,1937.0,24,0,0
L00213,Arjun Gupta,9104585145,student,16967.0,17200.0,2499.0,1070.0,18,0,1
L00214,Dev Nair,9331648817,salaried,54885.0,90000.0,71431.0,33600.0,3,47,3
L00215,Arjun Bose,9248868915,salaried,44289.0,46400.0,43861.0,2165.0,24,0,0
L00216,Sana Nair,9658101365,salaried,36249.0,64900.0,4618.0,8076.0,9,0,0
L00217,Isha Singh,9702301515,student,21098.0,59900.0,37216.0,7454.0,9,0,0
L00218,Rahul Patel,9520338114,student,13490.0,39700.0,30793.0,1853.0,24,1,0
L00219,Kabir Singh,9226026256,salaried,45036.0,49100.0,15740.0,2291.0,24,85,3
L00220,Ananya Rao,9433565434,student,18165.0,11300.0,9019.0,4219.0,3,0,0
L00221,Nikhil Rao,9283320413,student,19052.0,16800.0,10932.0,2091.0,9,0,1
L00222,Aarav Das,9247030784,salaried,40502.0,26700.0,24903.0,1661.0,18,0,0
L00223,Sana Rao,9200369209,salaried,54075.0,53400.0,52436.0,4984.0,12,0,0
L00224,Priya Khan,9835043323,salaried,49546.0,90000.0,8121.0,16800.0,6,0,0
L00225,Rohan Bose,9207891220,student,11863.0,33000.0,15599.0,3080.0,12,0,0
L00226,Divya Patel,9623456870,salaried,62308.0,90000.0,51267.0,4200.0,24,0,0
L00227,Priya Khan,9999136014,student,10305.0,21300.0,4034.0,3976.0,6,0,0
L00228,Rahul Das,9677630836,salaried,25139.0,25300.0,9348.0,1574.0,18,0,0
L00229,Kabir Khan,9471079653,salaried,32459.0,81200.0,80247.0,5052.0,18,0,0
L00230,Sana Khan,9286144175,student,10869.0,22200.0,1452.0,1036.0,24,22,0
L00231,Rohan Rao,9240006855,student,18855.0,50200.0,24090.0,9371.0,6,0,0
L00232,Dev Iyer,9957635910,student,16967.0,48700.0,41420.0,9091.0,6,64,2
L00233,Tara Bose,9229243205,salaried,40958.0,56100.0,20067.0,5236.0,12,0,0
L00234,Rohan Sharma,9117981931,salaried,52436.0,38100.0,19271.0,3556.0,12,0,0
L00235,Aarav Bose,9476727512,salaried,49079.0,52300.0,51209.0,6508.0,9,0,0
L00236,Vikram Bose,9421296387,salaried,48793.0,77800.0,38988.0,4841.0,18,0,0
L00237,Vikram Das,9745729826,salaried,49918.0,90000.0,15694.0,5600.0,18,0,1
L00238,Sana Bose,9570725605,salaried,52394.0,75700.0,7505.0,14131.0,6,0,1
L00239,Dev Singh,9923139318,student,17885.0,43400.0,41150.0,2700.0,18,36,1
L00240,Rahul Rao,9520839034,student,13866.0,25700.0,7775.0,4797.0,6,0,1
L00241,Divya Khan,9741597661,salaried,18837.0,18000.0,9519.0,2240.0,9,0,1
L00242,Isha Das,9517263178,salaried,45433.0,59100.0,8047.0,22064.0,3,0,1
L00243,Tara Bose,9355853289,student,11838.0,25200.0,11402.0,3136.0,9,0,0
L00244,Dev Iyer,9304114428,salaried,57546.0,90000.0,84024.0,4200.0,24,92,2
L00245,Meera Rao,9135387444,salaried,59252.0,90000.0,47456.0,11200.0,9,103,3
L00246,Aarav Khan,9620337587,salaried,47433.0,50800.0,49407.0,3161.0,18,0,1
L00247,Priya Rao,9988202981,salaried,38996.0,89900.0,26601.0,33563.0,3,0,1
L00248,Meera Sharma,9177794542,student,8253.0,7600.0,4023.0,709.0,12,0,1
L00249,Kabir Sharma,9864452395,student,14758.0,41900.0,36309.0,5214.0,9,0,0
L00250,Meera Singh,9847389425,student,14855.0,14400.0,6852.0,896.0,18,25,0
L00251,Sana Rao,9936037014,salaried,56834.0,43700.0,13788.0,2039.0,24,93,2
L00252,Tara Rao,9329295181,salaried,38307.0,66800.0,57628.0,6235.0,12,0,0
L00253,Kabir Singh,9228212264,salaried,54668.0,90000.0,37836.0,33600.0,3,0,0
L00254,Priya Das,9696983750,student,18098.0,32000.0,17734.0,3982.0,9,0,0
L00255,Vikram Iyer,9534993233,student,10022.0,16000.0,15643.0,5973.0,3,0,0
L00256,Kabir Patel,9564273493,salaried,56687.0,90000.0,20444.0,11200.0,9,0,0
L00257,Aarav Nair,9740909688,salaried,53383.0,90000.0,30270.0,33600.0,3,0,1
L00258,Divya Iyer,9570851163,student,16688.0,28300.0,2250.0,2641.0,12,27,2
L00259,Meera Singh,9855825948,student,14651.0,22800.0,9627.0,4256.0,6,0,1
L00260,Nikhil Sharma,9932157259,salaried,34690.0,23100.0,5548.0,4312.0,6,0,0
L00261,Arjun Patel,9658072815,student,18461.0,36600.0,25475.0,13664.0,3,0,0
L00262,Priya Iyer,9134305030,salaried,51511.0,55100.0,12246.0,2571.0,24,0,0
L00263,Sana Patel,9460059900,student,16658.0,34900.0,24118.0,1629.0,24,13,0
L00264,Kabir Iyer,9884539669,student,14438.0,9100.0,2733.0,566.0,18,0,0
L00265,Ananya Gupta,9220146251,salaried,30099.0,88900.0,34445.0,33189.0,3,68,3
L00266,Dev Khan,9591141443,student,15303.0,25600.0,9764.0,3186.0,9,105,3
L00267,Arjun Gupta,9273082635,student,22672.0,62200.0,45463.0,2903.0,24,0,0
L00268,Aarav Rao,9486344670,student,11585.0,19600.0,9666.0,1829.0,12,0,0
L00269,Rahul Gupta,9229015062,student,18349.0,11900.0,4679.0,4443.0,3,108,3
L00270,Sana Gupta,9761270257,student,17278.0,44200.0,38012.0,16501.0,3,0,0
L00271,Meera Khan,9782518613,student,12524.0,26600.0,15783.0,4965.0,6,0,0
L00272,Ananya Patel,9734386120,student,16710.0,41000.0,10379.0,1913.0,24,84,3
L00273,Zoya Khan,9577310515,student,20850.0,32700.0,29596.0,6104.0,6,63,2
L00274,Kabir Singh,9194307127,salaried,50337.0,90000.0,33797.0,4200.0,24,0,0
L00275,Arjun Gupta,9436931049,salaried,43156.0,90000.0,7833.0,5600.0,18,0,0
L00276,Priya Iyer,9701644860,student,15930.0,33100.0,17208.0,1545.0,24,0,0
L00277,Tara Das,9187122196,student,12390.0,17000.0,2852.0,1058.0,18,52,2
L00278,Rohan Rao,9513014340,salaried,58587.0,90000.0,24889.0,16800.0,6,0,0
L00279,Dev Gupta,9574727929,salaried,37268.0,81200.0,61692.0,5052.0,18,0,0
L00280,Ananya Nair,9592314604,salaried,44277.0,90000.0,15679.0,16800.0,6,0,0
L00281,Nikhil Rao,9723332121,student,9537.0,13600.0,11106.0,2539.0,6,73,2
L00282,Priya Gupta,9837896608,student,17928.0,28000.0,26322.0,5227.0,6,12,0
L00283,Rahul Gupta,9241862463,student,13909.0,35200.0,22042.0,13141.0,3,0,0
L00284,Rohan Patel,9560175357,student,6000.0,10600.0,7683.0,3957.0,3,0,0
L00285,Priya Patel,9126959221,salaried,42637.0,90000.0,65512.0,16800.0,6,4,0
L00286,Nikhil Singh,9527077079,student,17089.0,28200.0,28007.0,10528.0,3,9,0
L00287,Arjun Nair,9832163043,student,13145.0,13700.0,5130.0,1705.0,9,0,0
L00288,Nikhil Das,9355168257,student,10733.0,25400.0,5200.0,9483.0,3,0,0
L00289,Meera Nair,9447736542,salaried,34045.0,28200.0,15318.0,10528.0,3,0,2
L00290,Kabir Sharma,9456321410,student,17397.0,17300.0,9629.0,807.0,24,0,1
L00291,Sana Rao,9260271166,salaried,60828.0,90000.0,19712.0,33600.0,3,0,1
L00292,Isha Iyer,9374420210,student,17681.0,41900.0,26500.0,15643.0,3,0,0
L00293,Kabir Rao,9463650979,salaried,37961.0,90000.0,5708.0,33600.0,3,0,0
L00294,Arjun Nair,9566831554,student,15332.0,18100.0,16856.0,6757.0,3,101,2
L00295,Vikram Iyer,9590365029,salaried,47925.0,37200.0,11210.0,3472.0,12,0,0
L00296,Tara Sharma,9448405009,salaried,43185.0,90000.0,7882.0,5600.0,18,0,0
L00297,Isha Rao,9795750213,salaried,50191.0,44500.0,6801.0,2769.0,18,0,0
L00298,Vikram Patel,9487452078,salaried,45743.0,45500.0,12660.0,4247.0,12,0,1
L00299,Meera Sharma,9296053562,salaried,46325.0,56900.0,17651.0,21243.0,3,0,0
L00300,Vikram Bose,9878308885,salaried,40100.0,73100.0,5933.0,4548.0,18,0,1
L00301,Kabir Khan,9344753236,salaried,28223.0,76400.0,24096.0,28523.0,3,0,0
L00302,Priya Khan,9930649076,student,21993.0,52800.0,12318.0,4928.0,12,0,0
L00303,Kabir Iyer,9158702144,salaried,52839.0,90000.0,36872.0,11200.0,9,19,0
